title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
14547,12,"[35, 28, 12]",[0],76997,108214,4.939,132,4.001774537297866
5491,73000000,"[28, 12, 878, 10752]",[0],12834,5058,3.23,673,3.7047142619694986
13600,55000000,"[12, 10751, 14]",[0],45051,57193,6.272,1465,5.0847066420434075
29723,14000000,"[28, 18, 53]",[0],22553,40187,4.8,126,3.9874740466610854
9571,6900000,"[35, 18]",[0],51792,564,7.367,1642,5.725478374951171
10984,10000000,"[27, 53]",[0],25934,59958,5.405,430,4.251351991315354
152742,13500000,"[18, 10749, 80]",[21],38941,65314,7.843,2448,6.357039688316429
10367,2800000,"[80, 18, 9648]",[0],65240,65242,5.129,140,4.022668552352759
925715,94606,"[18, 9648, 14]",[87],3193684,3377549,7.6,5,3.9311487606963316
2788,11500000,"[18, 35, 10749]",[0],569,7399,6.579,576,4.6598049082214565
462104,1300000,[99],[0],1101345,1124970,6.7,36,3.984380121420436
35688,20000000,"[35, 10749]",[0],54421,80602,6.5,120,4.111005132070997
534259,15000000,"[18, 35]",[6],1865731,6220,6.983,483,4.668233947316684
83666,16000000,"[35, 18, 10749]",[0],929906,5655,7.693,4961,6.820404869748936
221,1500000,[18],[0],2769,2765,7.601,1275,5.615577796662673
146227,18000000,"[28, 80]","[25, 0]",77948,61921,5.1,544,4.2344536018861865
82679,14000000,[35],[0],530618,168798,5.6,382,4.261552362452686
11217,8500000,"[35, 27]",[0],52049,52049,5.2,286,4.124938747128794
10589,60000000,"[28, 35, 80, 18]",[0],3136,11091,6.158,609,4.567914871846252
592,1600000,"[80, 18, 9648]",[0],3096,1776,7.576,1288,5.613279362656369
64689,15000000,"[80, 53]",[0],59233,37618,6.021,1735,5.0490952730284295
11873,13800000,[18],[0],500,1032,6.827,1043,5.115408420602597
16081,18000000,"[35, 10751, 14]",[0],46780,2087,6.3,132,4.112401696451033
304410,11000000,"[35, 10402]",[9],24041,85340,6.911,2103,5.669225290294358
12783,17759769,"[18, 36, 10749]",[6],5469,73460,6.98,1457,5.431291259637929
1411,1227401,"[9648, 18]",[0],5274,16939,6.0,54,3.9915480252949878
3604,35000000,"[878, 12]","[6, 0]",33322,17281,6.224,742,4.684504029930539
2370,4000000,"[18, 53]",[0],24364,2636,6.0,284,4.25166021702489
340674,4480393,"[18, 53]","[0, 6, 32]",20982,1194907,4.525,336,4.030271074713968
16450,6,"[80, 28, 53]",[0],11477,15335,5.5,116,4.03292019924358
9988,17500000,[35],[0],52049,52049,5.931,427,4.366593176208331
79777,10000000,"[18, 10749, 10752]",[0],44736,11701,5.874,131,4.076668055074242
12268,6000000,"[35, 80]","[6, 0]",14503,1927,6.875,404,4.548768997730372
356296,7000000,"[80, 18, 53]",[21],23961,932533,7.3,1123,5.370904157951802
445224,250000,"[28, 80, 53]",[16],126736,70111,6.5,24,3.9597172658314914
186759,8000000,[35],[0],84223,239075,5.338,538,4.294972952141221
1883,34000000,"[18, 36]",[0],9780,5281,7.529,1302,5.601211853415162
6951,13000000,"[28, 35, 53, 80, 10751]",[0],51544,1724,6.366,1049,4.929131204428852
11522,9000000,"[35, 10749]",[0],5048,26502,6.79,908,5.005130358456148
14392,40000000,"[28, 18, 36]","[16, 8]",25246,76812,6.7,240,4.3042445947761765
13256,8000000,"[28, 12, 27, 878]","[0, 6]",11155,77658,5.2,373,4.175090639166786
6723,10000000,"[28, 80, 18, 53]",[0],6952,190,5.9,420,4.3540557362773935
456929,4920975,"[18, 35]",[13],1396648,56470,7.572,619,4.9900805187817046
553,10000000,"[80, 18, 53]","[43, 9, 26, 6, 41, 10]",7569,42,7.791,1965,6.119865034044835
713,7000000,"[18, 10749]","[18, 2, 9]",1037,10757,7.407,1160,5.44462243919191
815,23000000,"[10751, 18, 35]","[6, 0]",65,1387618,5.8,112,4.050209911014265
11909,3500000,"[53, 80, 18, 28, 10752]",[8],25245,11401,7.6,196,4.346299829149123
282984,11000000,"[18, 35, 80]",[0],54693,1243,6.534,2113,5.45169518022625
70590,3062000,"[18, 28, 80]",[15],113809,86783,6.7,110,4.109825345511901
16455,20000000,"[16, 10751]","[9, 6]",80535,80538,5.4,140,4.0459169392025265
8675,1000000,[35],"[3, 0]",55624,34517,6.14,328,4.3191607227663456
3509,8700000,"[16, 878, 53]",[0],1920,564,6.81,1409,5.323096022488599
925,6500000,[18],[0],15531,5281,7.787,1345,5.752750028573009
44865,3860000,"[28, 18, 36]","[16, 8]",1339,12453,6.556,694,4.7561034830468
10169,9000000,"[35, 80]",[0],2880,2880,5.6,290,4.192449530301908
