0,1,2,3,4,5,6,7
{705861: 'Hustle'},0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{15758: 'Queen Latifah'},{550121: 'Jeremiah Zagar'},7.854,1338
{825808: 'See for Me'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",{1517550: 'Skyler Davenport'},{1052055: 'Randall Okita'},6.141,92
"{768744: ""My Hero Academia: World Heroes' Mission""}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{1245094: 'Nobuhiko Okamoto'},{1307036: 'Kenji Nagasaki'},7.591,247
{438695: 'Sing 2'},85000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{368: 'Reese Witherspoon'},{52842: 'Garth Jennings'},8.045,3029
{629542: 'The Bad Guys'},80000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1231717: 'Marc Maron'},{1261455: 'Pierre Perifel'},7.796,893
{406759: 'Moonfall'},146000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{17178: 'Patrick Wilson'},{6046: 'Roland Emmerich'},6.459,1649
{539681: 'DC League of Super-Pets'},90000000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{55638: 'Kevin Hart'},{89027: 'Jared Stern'},7.394,66
{580489: 'Venom: Let There Be Carnage'},110000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{57755: 'Woody Harrelson'},{1333: 'Andy Serkis'},6.964,7781
{628900: 'The Contractor'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{11107: 'Ben Foster'},{119293: 'Tarik Saleh'},6.501,445
{761898: 'Sword Art Online the Movie -Progressive- Aria of a Starless Night'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{1248340: 'Haruka Tomatsu'},{1498113: 'Ayako Kono'},8.289,83
{299536: 'Avengers: Infinity War'},300000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{74568: 'Chris Hemsworth'},{19272: 'Joe Russo'},8.268,25136
{34851: 'Predators'},40000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{17052: 'Topher Grace'},{41671: 'Nimród Antal'},6.222,3274
{756681: 'Veneciafrenia'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",{10916: 'Caterina Murino'},{57865: 'Álex de la Iglesia'},6.067,104
{106: 'Predator'},15000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1101: 'Carl Weathers'},{1090: 'John McTiernan'},7.483,6331
{893297: 'American Sicario'},0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3294354: 'Philippe A. Haddad'},{582827: 'RJ Collins'},5.9,71
