title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
곰돌이 푸,30000000,애니메이션,United States of America,Jim Cummings,Don Hall,6.907,699,4.872194450824014
스트롱거,30000000,드라마,United States of America,Tatiana Maslany,David Gordon Green,6.985,1274,5.331128717887638
해롤드와 쿠마,9000000,코미디,United States of America,Kal Penn,Danny Leiner,6.5,1683,5.2870895885178975
원더랜드,100000000,코미디,Spain,Matthew Broderick,Dylan Brown,6.5,565,4.62784184264218
산 파블로,12000000,모험,United States of America,Richard Attenborough,Robert Wise,7.2,186,4.282568750477705
난 지구 반대편 나라로 가버릴테야,28000000,가족,United States of America,Jennifer Garner,Miguel Arteta,6.199,1156,4.914286826809387
스몰 솔저,40000000,코미디,United States of America,Kirsten Dunst,Joe Dante,6.524,1738,5.320657404895886
자칼,60000000,액션,United States of America,Richard Gere,Michael Caton-Jones,6.289,1519,5.114576651380809
셋 잇 오프,9000000,범죄,United States of America,Queen Latifah,F. Gary Gray,7.2,272,4.424806535671676
더 리벤지,10000000,스릴러,United States of America,Karl Urban,Isaac Florentine,5.906,459,4.386371331821223
그린 룸,5000000,공포,United States of America,Imogen Poots,Jeremy Saulnier,6.684,2232,5.576185404545536
쉬즈 올 댓,10000000,코미디,United States of America,Rachael Leigh Cook,Robert Iscove,6.311,1724,5.201233953358435
장군의 딸,60000000,스릴러,Germany,Madeleine Stowe,Simon West,6.4,729,4.733262886350922
플레잉 위드 파이어,29900000,가족,United States of America,Keegan-Michael Key,Andy Fickman,6.821,551,4.701588843708805
도어스,38000000,음악,United States of America,Meg Ryan,Oliver Stone,7.105,1108,5.276672627260574
헤어스프레이,50000000,코미디,United Kingdom,Zac Efron,Adam Shankman,6.667,2207,5.5585548552577
우리동네 이발소에 무슨일이 2,18000000,코미디,United States of America,Cedric the Entertainer,Kevin Rodney Sullivan,5.877,204,4.154393174963502
오픈 워터 2: 어드리프트,1200000,드라마,Germany,Eric Dane,Hans Horn,5.472,578,4.352546125108972
왓 라이즈 비니스,100000000,드라마,United States of America,Michelle Pfeiffer,Robert Zemeckis,6.405,1475,5.154828670274367
리볼트 : 프리즈너 오브 워,4000000,SF,United Kingdom,Lee Pace,Joe Miale,5.5,290,4.176175143563682
늪지의 괴물,10000000,공포,United States of America,Adrienne Barbeau,Wes Craven,5.4,268,4.144398998259697
리초네의 태양 아래,3000000,코미디,Italy,Saul Nanni,Antonio Usbergo,6.222,482,4.481239132710991
모건,8000000,공포,United States of America,Anya Taylor-Joy,Luke Scott,5.768,1256,4.764041732468451
영혼의 집,25000000,로맨스,Denmark,Glenn Close,Bille August,6.87,558,4.722164008688826
화이트 라이언 찰리,9600000,모험,South Africa,Mélanie Laurent,Gilles de Maistre,7.337,746,5.05826540902518
디-톡스,55000000,액션,United States of America,Polly Walker,Jim Gillespie,5.616,523,4.359366193594782
라이더의 처형,2700000,액션,United States of America,Nick Cassavetes,Mike Marvin,6.39,336,4.373082979670338
헛소동,11000000,드라마,United Kingdom,Emma Thompson,Kenneth Branagh,7.0,585,4.786701980534966
벽 속에 숨은 마법시계,42000000,판타지,Canada,Cate Blanchett,Eli Roth,6.2,1839,5.178265698930565
더 게임,50000000,드라마,United States of America,Sean Penn,David Fincher,7.55,5234,6.744542843103464
슈퍼걸,35000000,모험,United Kingdom,Faye Dunaway,Jeannot Szwarc,5.5,467,4.295789250054473
스노우 독스,35000000,코미디,Canada,James Coburn,Brian Levant,5.656,626,4.432301779864387
비긴 어게인,8000000,코미디,United States of America,Keira Knightley,John Carney,7.256,3306,6.218299335565384
루팡 3세 칼리오스트로의 성,7202188,가족,Japan,Eiko Masuyama,Hayao Miyazaki,7.519,801,5.176503244430917
사랑이 어떻게 변하니?,30000000,코미디,United States of America,Kristen Bell,Nicholas Stoller,6.467,2866,5.594641930251534
카사블랑카,878000,드라마,United States of America,Ingrid Bergman,Michael Curtiz,8.167,4328,7.077988105512221
러브 액츄얼리,40000000,코미디,United Kingdom,Liam Neeson,Richard Curtis,7.095,5571,6.424086268620691
슬립워커스,15000000,판타지,United States of America,Brian Krause,Mick Garris,5.98,405,4.358911361804347
나일의 대모험,25000000,모험,United States of America,Kathleen Turner,Lewis Teague,6.219,908,4.789096731007009
혹성탈출 3 - 제3의 인류,2500000,액션,United States of America,Kim Hunter,Don Taylor,6.316,790,4.748736976636284
데이트 영화,20000000,코미디,Switzerland,Eddie Griffin,Aaron Seltzer,4.229,802,4.027285679595924
더 페이버릿: 여왕의 여자,15000000,드라마,Ireland,Emma Stone,Yorgos Lanthimos,7.553,4464,6.642659699550499
해운대,16000000,액션,South Korea,Ha Ji-won,JK Youn,6.731,288,4.37386726571048
곡성,10951000,공포,South Korea,Hwang Jung-min,Na Hong-jin,7.356,1287,5.510685352351354
호프 스프링즈,30000000,드라마,United States of America,Steve Carell,David Frankel,6.2,667,4.623608347070247
스팀보이,26000000,애니메이션,Japan,Aiko Hibi,Katsuhiro Otomo,6.842,300,4.408235353962898
폴리스 아카데미 4: 시민 순찰대,17000000,코미디,United States of America,Bubba Smith,Jim Drake,5.473,928,4.51483802647466
머펫 대소동 2,50000000,코미디,United Kingdom,Ty Burrell,James Bobin,6.3,699,4.678536582333756
영 프랑켄슈타인,2800000,코미디,United States of America,Teri Garr,Mel Brooks,7.9,2610,6.451993651053772
앙코르,28000000,드라마,Germany,Reese Witherspoon,James Mangold,7.501,2377,6.119652470972146
뉴욕 살인 사건,18000000,코미디,United States of America,Gene Wilder,Arthur Hiller,6.7,776,4.870451913258023
리볼버,27000000,드라마,France,Ray Liotta,Guy Ritchie,6.354,1083,4.943056780379592
